,Segment ID,MediaCom Audience Name,Country,Business Unit,Audience Source,created_date,Placements Count,Segment Used
0,14o04dsyat,,us,csbo-aw,Google Analytics,2023-01-17 18:56:46,0.0,False
1,da2z3jfdx3d,,us,csbo-csb,Google Analytics,2023-01-19 14:45:00,0.0,False
2,d2l072rynmf,targeting-development_us-csbo-csb_1pcrm-aiqcrm-cip_na,us,csbo-csb,AIQ CRM,2023-01-20 17:49:12,0.0,False
3,dztqn3bkuwh,targeting-gamingpcbuyer_us-csbo-csb_1pcrm-aiqcrm-cip_na,us,csbo-csb,AIQ CRM,2023-01-20 17:49:12,0.0,False
4,dfmb6iq56n5,targeting-mbinmarket_us-mb_abm-liveramp-dunandbradstreet_fi/im,us,mb,Liveramp,2023-01-23 20:09:10,0.0,False
5,d7xs85pykcu,targeting-mbhvcbdmitdm_us-mb_abm-liveramp-dunandbradstreet_fi,us,mb,Liveramp,2023-01-23 21:50:10,0.0,False
6,dvqk0dkd51b,targeting-mbim_us-mb_1pcrm-aiqcrm-cip_im,us,mb,AIQ CRM,2023-01-23 21:50:10,0.0,False
7,d90hjr4el8l,seeddmp-mboomcosizefilter_us-mb_3pofftheshelf-liveramp-adstra_fi,us,mb,Liveramp,2023-01-23 21:50:10,0.0,False
8,dbd171yzas4,targeting-mbimintentsignals_us-mb_3pofftheshelf-liveramp-oracledatamarketplace_im/in,us,mb,Liveramp,2023-01-23 21:50:10,0.0,False
9,dvvk2r9v353,seedlal-mbtxlk12buyers_us-mb_abm-liveramp-dunandbradstreet_fi,us,mb,Liveramp,2023-01-23 21:50:10,0.0,False
10,de5m4c82vod,targeting-brandyoungpros_us-brand_3pofftheshelf-liveramp-123push_de,us,brand,Liveramp,2023-01-23 21:50:10,0.0,False
11,dx9866ycpch,seedtargeting-dev_us-csbo-csb_1pcrm-aiqcrm-cip_na,us,csbo-csb,AIQ CRM,2023-01-26 14:56:11,0.0,False
12,d5ddll7nteq,seedtargeting-react_us-csbo-csb_1pcrm-aiqcrm-cip_na,us,csbo-csb,AIQ CRM,2023-01-26 14:56:11,0.0,False
13,d2srky66y97,seedtargeting-gamingpcbuyer_us-csbo-aw/gseries_1pcrm-aiqcrm-cip_na,us,csbo-aw/gseries,AIQ CRM,2023-01-26 14:56:11,0.0,False
14,dvd8udw1jqe,seedtargeting-gamingpurchaseintent_us-csbo-aw/gseries_1pcrm-aiqcrm-cip_na,us,csbo-aw/gseries,AIQ CRM,2023-01-26 14:56:11,0.0,False
15,dvzi5fpwsq0,seedtargeting-enrolleditconsultants_us-csbo-sb_1pcrm-aiqcrm-cip_na,us,csbo-sb,AIQ CRM,2023-01-26 14:56:11,0.0,False
16,diz8r4lp07j,seedtargeting-accountingengineering_us-csbo-sb_1pcrm-aiqcrm-cip_na,us,csbo-sb,AIQ CRM,2023-01-26 14:56:11,0.0,False
17,d8oqbcgxhj0,seedtargeting-devreact_us-csbo-sb_1pcrm-aiqcrm-cip_na,us,csbo-sb,AIQ CRM,2023-01-26 14:56:11,0.0,False
18,dtma0oq0ats,seedtargeting-hhserver_us-csbo-sb_1pcrm-aiqcrm-cip_na,us,csbo-sb,AIQ CRM,2023-01-26 14:56:11,0.0,False
19,d1ehw5b9die,seedtargeting-hhserverstorage_us-csbo-sb_1pcrm-aiqcrm-cip_na,us,csbo-sb,AIQ CRM,2023-01-26 14:56:11,0.0,False
20,dycnajocapo,seedtargeting-hhstorage_us-csbo-sb_1pcrm-aiqcrm-cip_na,us,csbo-sb,AIQ CRM,2023-01-26 14:56:11,0.0,False
21,ddil37ploig,seedtargeting-highmedit_us-csbo-sb_1pcrm-aiqcrm-cip_na,us,csbo-sb,AIQ CRM,2023-01-26 14:56:11,0.0,False
22,d7u1uvgihyw,seedtargeting-isddgr_us-csbo-sb_1pcrm-aiqcrm-cip_na,us,csbo-sb,AIQ CRM,2023-01-26 14:56:11,0.0,False
23,d1833s85ts2,seedtargeting-itdms_us-csbo-sb_1pcrm-aiqcrm-cip_na,us,csbo-sb,AIQ CRM,2023-01-26 14:56:11,0.0,False
24,d4mc93567gb,seedtargeting-pastserverpurchasers_us-csbo-sb_1pcrm-aiqcrm-cip_na,us,csbo-sb,AIQ CRM,2023-01-26 14:56:11,0.0,False
25,dqfyrpst1bz,seedtargeting-donotuse_us-csbo-sb_1pcrm-aiqcrm-cip_na,us,csbo-sb,AIQ CRM,2023-01-26 14:56:11,0.0,False
26,d4pyjk1z1w1,seedtargeting-workstations_us-csbo-sb_1pcrm-aiqcrm-cip_na,us,csbo-sb,AIQ CRM,2023-01-26 14:56:11,0.0,False
27,djjckmwy5pi,targeting-associations_us-csbo-sb_1pcrm-aiqcrm-cip_na,us,csbo-sb,AIQ CRM,2023-01-26 14:56:11,0.0,False
28,dxbqzrhhdc9,targeting-dellforentrepreneurs_us-csbo-sb_1pcrm-aiqcrm-cip_na,us,csbo-sb,AIQ CRM,2023-01-26 14:56:11,0.0,False
29,dd6onnun705,targeting-expandingbusinesses_us-csbo-sb_1pcrm-aiqcrm-cip_na,us,csbo-sb,AIQ CRM,2023-01-26 14:56:11,0.0,False
30,dm3oommazg8,targeting-netnewbusiness_us-csbo-sb_1pcrm-aiqcrm-cip_na,us,csbo-sb,AIQ CRM,2023-01-26 14:56:11,0.0,False
31,dslh1tsjdj6,targeting-itdm_us-csbo-sb_1pcrm-aiqcrm-cip_na,us,csbo-sb,AIQ CRM,2023-01-26 14:56:11,0.0,False
32,ddpa2x3w3wj,targeting-acqhighmedit_us-csbo-sb_1pcrm-aiqcrm-cip_na,us,csbo-sb,AIQ CRM,2023-01-26 14:56:11,0.0,False
33,dw596qixgpz,targeting-serverpr_us-csbo-sb_1pcrm-aiqcrm-cip_na,us,csbo-sb,AIQ CRM,2023-01-26 14:56:11,0.0,False
34,dr52bcy810p,targeting-enterpriseserver_us-csbo-sb_1pcrm-aiqcrm-cip_na,us,csbo-sb,AIQ CRM,2023-01-26 14:56:11,0.0,False
35,d5g974q5j16,targeting-dev_us-csbo-csb_1pcrm-liveramp-aiq_na,us,csbo-csb,Liveramp,2023-01-26 14:56:11,2521.0,True
36,dza0y29y5eh,targeting-react_us-csbo-csb_1pcrm-liveramp-aiq_na,us,csbo-csb,Liveramp,2023-01-26 14:56:11,809.0,True
37,dd56hr0q4df,targeting-gamingpcbuyer_us-csbo-aw/gseries_1pcrm-liveramp-aiq_na,us,csbo-aw/gseries,Liveramp,2023-01-26 14:56:11,634.0,True
38,dw74i50a4wt,targeting-gamingpurchaseintent_us-csbo-aw/gseries_1pcrm-liveramp-aiq_na,us,csbo-aw/gseries,Liveramp,2023-01-26 14:56:11,108.0,True
39,dhs21thyr70,targeting-enrolleditconsultants_us-csbo-sb_1pcrm-liveramp-aiq_na,us,csbo-sb,Liveramp,2023-01-26 14:56:11,1493.0,True
40,dzpf4amz64m,targeting-accountingengineering_us-csbo-sb_1pcrm-liveramp-aiq_na,us,csbo-sb,Liveramp,2023-01-26 14:56:11,0.0,False
41,d6actylcgfa,targeting-devreact_us-csbo-sb_1pcrm-liveramp-aiq_na,us,csbo-sb,Liveramp,2023-01-26 14:56:11,483.0,True
42,d44ej9j7l47,targeting-hhserver_us-csbo-sb_1pcrm-liveramp-aiq_na,us,csbo-sb,Liveramp,2023-01-26 14:56:11,254.0,True
43,db8xu9shxm7,targeting-hhserverstorage_us-csbo-sb_1pcrm-liveramp-aiq_na,us,csbo-sb,Liveramp,2023-01-26 14:56:11,250.0,True
44,d6q30kb7stc,targeting-hhstorage_us-csbo-sb_1pcrm-liveramp-aiq_na,us,csbo-sb,Liveramp,2023-01-26 14:56:11,255.0,True
45,dbsylp97lg7,targeting-highmedit_us-csbo-sb_1pcrm-liveramp-aiq_na,us,csbo-sb,Liveramp,2023-01-26 14:56:11,707.0,True
46,dl6xwkkba1h,targeting-isddgr_us-csbo-sb_1pcrm-liveramp-aiq_na,us,csbo-sb,Liveramp,2023-01-26 14:56:11,145.0,True
47,d1vh6svslg2,targeting-itdms_us-csbo-sb_1pcrm-liveramp-aiq_na,us,csbo-sb,Liveramp,2023-01-26 14:56:11,473.0,True
48,dj2x0sl776i,targeting-pastserverpurchasers_us-csbo-sb_1pcrm-liveramp-aiq_na,us,csbo-sb,Liveramp,2023-01-26 14:56:11,434.0,True
49,d2duc9h7l38,targeting-donotuse_us-csbo-sb_1pcrm-liveramp-aiq_na,us,csbo-sb,Liveramp,2023-01-26 14:56:11,455.0,True
50,dwdht98vi78,targeting-workstations_us-csbo-sb_1pcrm-liveramp-aiq_na,us,csbo-sb,Liveramp,2023-01-26 14:56:11,506.0,True
51,dh9bl9zks10,targeting-development_us-csbo-csb_1pcrm-aiqcrm-aiq_de,us,csbo-csb,AIQ CRM,2023-01-29 16:35:57,0.0,False
52,dclz8y1bxzk,test-tutorial_us-csbo-csb_3pofftheshelf_liveramp-180bytwo_im,us,csbo-csb,Liveramp,2023-01-29 17:08:21,0.0,False
53,d8tvnc0ncc2,targeting-millenials_us-csbo-con_3pofftheshelf_liveramp-123push_de,us,csbo-con,Liveramp,2023-02-03 13:18:57,455.0,True
54,d5z3415l8ln,targeting-parents_us-csbo-con_3pofftheshelf_liveramp-123push_be/de/im,us,csbo-con,Liveramp,2023-02-03 13:18:57,370.0,True
55,dievz48ix8q,targeting-collegegraduates_us-csbo-con_3pofftheshelf_liveramp-alnt_de,us,csbo-con,Liveramp,2023-02-03 13:36:18,141.0,True
56,d3ielvetr2k,targeting-pcgamer_us-csbo-gseries_3pofftheshelf_liveramp-alnt_de/im,us,csbo-gseries,Liveramp,2023-02-03 13:36:18,0.0,False
