,Campaign,BU,"Display Tactic (Display, Video, CTV etc.)",Partner,Targeting Type,Audience ID,"Deilvery ID
(to find Oracle DMP deliveries)",Audience Name,Audience Description,Audience Priority,Audience Size,ABM Accounts #,CRM,Data Provider,Retargeting (Stage 2),Audience Type,Programmatic,Launch Status,3P ABM delivery,CEP ABM Accounts #,AIQ IDS,AIQ Account size,AIQ Hashed email count size,AIQ Match Rate,Bombora Unique Domains,# of matched domains,Bombora Match Rate,AIQ Email Count,"Display Tactic (Display, Video, CTV etc.) ","Delivery ID
(for Oracle only)",Data CPM,Audience Category,Status (activated/deactivated dates)
21,APJ LTA Engagement CSG,CE,Display/Video,DV360 / TTD,3P ABM,dqtgv9v790x,,abm-fy25q1ltacsg_sgmy-b2b-ce_3pabm_aiqcrm-bom_im,WTN - LTA CSG CE,,,,CIP,Bombora,,ABM-3PD AUDIENCE,DV360 / TTD,Prod,via AIQ,626.0,428416.0,587.0,8353.0,0.9376996805111821,,,,,,,,,
22,APJ LTA Engagement CSG,MB,Display/Video,DV360 / TTD,3P ABM,dt3je7tc6fd,,abm-fy25q1ltacsg_anz-b2b-mb_3pabm_aiqcrm-bom_im,WTN - LTA CSG MB,,,,CIP,Bombora,,ABM-3PD AUDIENCE,DV360 / TTD,Prod,via AIQ,2836.0,428409.0,2768.0,26466.0,0.9760225669957687,,,,,,,,,
23,APJ LTA Engagement CSG,MB,Display/Video,DV360 / TTD,3P ABM,d437bm97k29,,abm-fy25q1ltacsg_in-b2b-mb_3pabm_aiqcrm-bom_im,WTN - LTA CSG MB,,,,CIP,Bombora,,ABM-3PD AUDIENCE,DV360 / TTD,Prod,via AIQ,2416.0,428411.0,2346.0,19240.0,0.9710264900662252,,,,,,,,,
24,APJ LTA Engagement CSG,MB,Display/Video,DV360 / TTD,3P ABM,d43kmyae4vq,,abm-fy25q1ltacsg_jp-b2b-mb_3pabm_aiqcrm-bom_im,WTN - LTA CSG MB,,,,CIP,Bombora,,ABM-3PD AUDIENCE,DV360 / TTD,Prod,via AIQ,4522.0,428413.0,4424.0,19924.0,0.978328173374613,,,,,,,,,
25,APJ LTA Engagement CSG,MB,Display/Video,DV360 / TTD,3P ABM,dii2yzn2sz2,,abm-fy25q1ltacsg_kr-b2b-mb_3pabm_aiqcrm-bom_im,WTN - LTA CSG MB,,,,CIP,Bombora,,ABM-3PD AUDIENCE,DV360 / TTD,Prod,via AIQ,10702.0,428415.0,10608.0,33174.0,0.9912165950289665,,,,,,,,,
26,APJ LTA Engagement CSG,MB,Display/Video,DV360 / TTD,3P ABM,dzg0ejppo34,,abm-fy25q1ltacsg_sgmy-b2b-mb_3pabm_aiqcrm-bom_im,WTN - LTA CSG MB,,,,CIP,Bombora,,ABM-3PD AUDIENCE,DV360 / TTD,Prod,via AIQ,7439.0,428417.0,7264.0,40018.0,0.9764753327060088,,,,,,,,,
27,APJ LTA Engagement ISG,CE,Display/Video,DV360 / TTD,3P ABM,du5ng5ontv2,,abm-fy25q1ltaisg_anz-b2b-ce_3pabm_aiqcrm-bom_im,WTN - LTA ISG CE,,,,CIP,Bombora,,ABM-3PD AUDIENCE,DV360 / TTD,Prod,via AIQ,2834.0,428419.0,2119.0,31486.0,0.7477064220183486,,,,,,,,,
28,APJ LTA Engagement ISG,CE,Display/Video,DV360 / TTD,3P ABM,dh14r7wu7hm,,abm-fy25q1ltaisg_in-b2b-ce_3pabm_aiqcrm-bom_im,WTN - LTA ISG CE,,,,CIP,Bombora,,ABM-3PD AUDIENCE,DV360 / TTD,Prod,via AIQ,5303.0,428421.0,5200.0,60702.0,0.9805770318687536,,,,,,,,,
29,APJ LTA Engagement ISG,CE,Display/Video,DV360 / TTD,3P ABM,drmkiyekejn,,abm-fy25q1ltaisg_jp-b2b-ce_3pabm_aiqcrm-bom_im,WTN - LTA ISG CE,,,,CIP,Bombora,,ABM-3PD AUDIENCE,DV360 / TTD,Prod,via AIQ,1201.0,428423.0,996.0,8574.0,0.829308909242298,,,,,,,,,
30,APJ LTA Engagement ISG,CE,Display/Video,DV360 / TTD,3P ABM,dwenn6tmlcc,,abm-fy25q1ltaisg_kr-b2b-ce_3pabm_aiqcrm-bom_im,WTN - LTA ISG CE,,,,CIP,Bombora,,ABM-3PD AUDIENCE,DV360 / TTD,Prod,via AIQ,333.0,428425.0,325.0,3923.0,0.975975975975976,,,,,,,,,
