,Taxonomy,Count,Audiences,Audience_Id,lvl1,lvl2,lvl3,lvl4,lvl5,lvl6,lvl7,lvl8,DataProvider
30,"33271/*Adstra Data Directory Taxonomy*/,12815417/*CONS_100033*/",1,targeting-collegegraduates_us-csbo-con_3pofftheshelf_neustar-180-ads-alnt_de/im,46459859,33271,*Adstra Data Directory Taxonomy*,",12815417",*CONS_100033*,,,,,
31,"33466/*Neustar AdAdvisor Identity Planner Audiences - Propensity*/,40451524/*Online Access-Work-Mobile Broadband(i.e. For Tablet,Cellphone)*/",1,targeting-yucconsumers_us-csbo-con_3pofftheshelf_neustar-#hbv-123_be/im,46273717,33466,*Neustar AdAdvisor Identity Planner Audiences - Propensity*,",40451524","*Online Access-Work-Mobile Broadband(i.e. For Tablet,Cellphone)*",,,,,adadvisor
32,"26303/*Alliant DD Taxonomy*/,4931588/*Digital Purchasing Parents*/",1,targeting-parents_us-csbo-con_3pofftheshelf_neustar-180-ada-alnt_im/in,46459856,26303,*Alliant DD Taxonomy*,",4931588",*Digital Purchasing Parents*,,,,,
33,"33466/*Neustar AdAdvisor Identity Planner Audiences - Propensity*/,29074905/*I Rely On The Internet To Communicate*/",1,targeting-yucconsumers_us-csbo-con_3pofftheshelf_neustar-#hbv-123_be/im,46273717,33466,*Neustar AdAdvisor Identity Planner Audiences - Propensity*,",29074905",*I Rely On The Internet To Communicate*,,,,,adadvisor
34,"25752/*180byTwo_DataDirectory*/,30867972/*180byTwo from Anteriad > B2C > Demographic > Family > Parents*/",1,targeting-parents_us-csbo-con_3pofftheshelf_neustar-180-ada-alnt_im/in,46459856,25752,*180byTwo_DataDirectory*,",30867972",*180byTwo from Anteriad , B2C , Demographic , Family , Parents*/,180bytwo
35,"33466/*Neustar AdAdvisor Identity Planner Audiences - Propensity*/,4946619/*I Like To Have A Lot Of Gadgets*/",1,targeting-yucconsumers_us-csbo-con_3pofftheshelf_neustar-#hbv-123_be/im,46273717,33466,*Neustar AdAdvisor Identity Planner Audiences - Propensity*,",4946619",*I Like To Have A Lot Of Gadgets*,,,,,adadvisor
36,"25752/*180byTwo_DataDirectory*/,30868067/*180byTwo from Anteriad > B2C > Demographic > Generations > Gen Y / Millennials*/",1,targeting-millenials_us-csbo-con_3pofftheshelf_neustar-180-ads_be/im/in,46459855,25752,*180byTwo_DataDirectory*,",30868067",*180byTwo from Anteriad , B2C , Demographic , Generations , Gen Y / Millennials*/,180bytwo
37,"33466/*Neustar AdAdvisor Identity Planner Audiences - Propensity*/,4947508/*Frozen Complete Dinner-Marie Calendar's*/",1,targeting-yucconsumers_us-csbo-con_3pofftheshelf_neustar-#hbv-123_be/im,46273717,33466,*Neustar AdAdvisor Identity Planner Audiences - Propensity*,",4947508",*Frozen Complete Dinner-Marie Calendar's*,,,,,adadvisor
38,"14007/*Neustar AdAdvisor - Individual Age Group*/,6942737/*30-34*/",1,targeting-yucconsumers_us-csbo-con_3pofftheshelf_neustar-#hbv-123_be/im,46273717,14007,*Neustar AdAdvisor - Individual Age Group*,",6942737",*30-34*,,,,,adadvisor
39,"14007/*Neustar AdAdvisor - Individual Age Group*/,6942734/*18-19*/",1,targeting-yucconsumers_us-csbo-con_3pofftheshelf_neustar-#hbv-123_be/im,46273717,14007,*Neustar AdAdvisor - Individual Age Group*,",6942734",*18-19*,,,,,adadvisor
40,"14007/*Neustar AdAdvisor - Individual Age Group*/,6942735/*20-24*/",1,targeting-yucconsumers_us-csbo-con_3pofftheshelf_neustar-#hbv-123_be/im,46273717,14007,*Neustar AdAdvisor - Individual Age Group*,",6942735",*20-24*,,,,,adadvisor
