,Taxonomy,Count,Audiences,Audience_Id,lvl1,lvl2,lvl3,lvl4,lvl5,lvl6,lvl7,lvl8,DataProvider
154,"14007/*Neustar AdAdvisor - Individual Age Group*/,3033424/*Age Group --> 30-34 --> 34-35*/",1,targeting-agedemo18to54_us-csbo-con_3pofftheshelf_neustar-ada_be/de,46475331,14007,*Neustar AdAdvisor - Individual Age Group*,",3033424",*Age Group --, 30-34 --, 34-35*,,,adadvisor
155,"14007/*Neustar AdAdvisor - Individual Age Group*/,3033430/*Age Group --> 25-29 --> 28-29*/",1,targeting-agedemo18to54_us-csbo-con_3pofftheshelf_neustar-ada_be/de,46475331,14007,*Neustar AdAdvisor - Individual Age Group*,",3033430",*Age Group --, 25-29 --, 28-29*,,,adadvisor
156,"14007/*Neustar AdAdvisor - Individual Age Group*/,3033432/*Age Group --> 25-29 --> 26-27*/",1,targeting-agedemo18to54_us-csbo-con_3pofftheshelf_neustar-ada_be/de,46475331,14007,*Neustar AdAdvisor - Individual Age Group*,",3033432",*Age Group --, 25-29 --, 26-27*,,,adadvisor
157,"14007/*Neustar AdAdvisor - Individual Age Group*/,3033434/*Age Group --> 21-24 --> 24-25*/",1,targeting-agedemo18to54_us-csbo-con_3pofftheshelf_neustar-ada_be/de,46475331,14007,*Neustar AdAdvisor - Individual Age Group*,",3033434",*Age Group --, 21-24 --, 24-25*,,,adadvisor
158,"14007/*Neustar AdAdvisor - Individual Age Group*/,3033436/*Age Group --> 21-24 --> 22-23*/",1,targeting-agedemo18to54_us-csbo-con_3pofftheshelf_neustar-ada_be/de,46475331,14007,*Neustar AdAdvisor - Individual Age Group*,",3033436",*Age Group --, 21-24 --, 22-23*,,,adadvisor
159,"14007/*Neustar AdAdvisor - Individual Age Group*/,3033438/*Age Group --> 18-20 --> 20-21*/",1,targeting-agedemo18to54_us-csbo-con_3pofftheshelf_neustar-ada_be/de,46475331,14007,*Neustar AdAdvisor - Individual Age Group*,",3033438",*Age Group --, 18-20 --, 20-21*,,,adadvisor
160,"33282/*Neustar AdAdvisor Identity Planner Audiences - Demographic*/,4947168/*30-34*/",1,targeting-agedemo18to54_us-csbo-con_3pofftheshelf_neustar-ada_be/de,46475331,33282,*Neustar AdAdvisor Identity Planner Audiences - Demographic*,",4947168",*30-34*,,,,,adadvisor
161,"33282/*Neustar AdAdvisor Identity Planner Audiences - Demographic*/,4947170/*40-44*/",1,targeting-agedemo18to54_us-csbo-con_3pofftheshelf_neustar-ada_be/de,46475331,33282,*Neustar AdAdvisor Identity Planner Audiences - Demographic*,",4947170",*40-44*,,,,,adadvisor
162,"12894/*Neustar AdAdvisor Consumer Audiences*/,2996467/*Education > Highest Level of Education for Head of Household > Edu: Some College*/",1,targeting-collegegraduates_us-csbo-con_3pofftheshelf_neustar-ada_de/im,46475330,12894,*Neustar AdAdvisor Consumer Audiences*,",2996467",*Education , Highest Level of Education for Head of Household , Edu: Some College*,,,adadvisor
163,"12894/*Neustar AdAdvisor Consumer Audiences*/,6920108/*Print Media > Magazines > Read Parents Last 6 Month*/",1,targeting-parents_us-csbo-con_3pofftheshelf_neustar-ada_im/in,46475329,12894,*Neustar AdAdvisor Consumer Audiences*,",6920108",*Print Media , Magazines , Read Parents Last 6 Month*,,,adadvisor
164,"33466/*Neustar AdAdvisor Identity Planner Audiences - Propensity*/,4948832/*Read Parents Last 6 Month*/",1,targeting-parents_us-csbo-con_3pofftheshelf_neustar-ada_im/in,46475329,33466,*Neustar AdAdvisor Identity Planner Audiences - Propensity*,",4948832",*Read Parents Last 6 Month*,,,,,adadvisor
165,"12894/*Neustar AdAdvisor Consumer Audiences*/,40502966/*Lifestyle Statements > Likely to Buy From Company Donating to Charity*/",1,targeting-charitabledonations_us-csbo-con_3pofftheshelf_neustar-ada_co/im/in,46475328,12894,*Neustar AdAdvisor Consumer Audiences*,",40502966",*Lifestyle Statements , Likely to Buy From Company Donating to Charity*,,,,adadvisor
166,"12894/*Neustar AdAdvisor Consumer Audiences*/,40503232/*Lifestyle Statements > Shopping > I am more Likely to Buy from a Company that Donates to Charity*/",1,targeting-charitabledonations_us-csbo-con_3pofftheshelf_neustar-ada_co/im/in,46475328,12894,*Neustar AdAdvisor Consumer Audiences*,",40503232",*Lifestyle Statements , Shopping , I am more Likely to Buy from a Company that Donates to Charity*,,,adadvisor
167,"33466/*Neustar AdAdvisor Identity Planner Audiences - Propensity*/,4947819/*HH Owns Portable Generator*/",1,targeting-genxers_us-csbo-con_3pofftheshelf_neustar-ada_be/im,46475327,33466,*Neustar AdAdvisor Identity Planner Audiences - Propensity*,",4947819",*HH Owns Portable Generator*,,,,,adadvisor
168,"12160/*Neustar AdAdvisor - Business*/,2965274/*SOHO 25- Small Office Or Home Office Businesses*/",1,targeting-soho_us-csbo-sb_3pofftheshelf_neustar-ada_em/fi,46484804,12160,*Neustar AdAdvisor - Business*,",2965274",*SOHO 25- Small Office Or Home Office Businesses*,,,,,adadvisor
