Global Country (Calc),Global Audience Type (Calc),Display Funnel Mapped,Global Tactic V2 B2B (Calc),LOB,Display Business Unit Mapped,Display Funnel Mapped,Audience Type,Actual Spend (GCSB) (Calc),LC True Revenue BQ (GCSB) (Calc)
United States,3PD,High Propsensity Prospects,PROSPECTING,CSB,Other,High Propsensity Prospects,AFFINITY-3PD-BEHAVIOR,2771675.79,139673.31
United States,3PD,High Propsensity Prospects,PROSPECTING,CSB,Other,High Propsensity Prospects,IN-MARKET-3PD-BEHAVIOR,338584.85,0.0
United States,3PD,High Propsensity Prospects,PROSPECTING,CSB,Other,High Propsensity Prospects,IN-MARKET-3PD-CONTEXTUAL,26761.04,3018.4300000000003
United States,3PD,High Propsensity Prospects,PROSPECTING,CSB,Other,High Propsensity Prospects,KCT-3PD-CONTEXTUAL,16781.43,19900.16
United States,3PD,Lead Gen,BRAND,CSB,Other,Lead Gen,CATEGORY-3PD-CONTEXTUAL,9380.68,49510.159999999996
United States,3PD,Lead Gen,PROSPECTING,CSB,Other,Lead Gen,AFFINITY-3PD-BEHAVIOR,71573.65,576192.49
United States,3PD,Lead Gen,PROSPECTING,CSB,Other,Lead Gen,CATEGORY-3PD-CONTEXTUAL,32793.07,318328.11
United States,3PD,Lead Gen,PROSPECTING,CSB,Other,Lead Gen,DOMAIN-3PD-CONTEXTUAL,9287.04,0.0
United States,3PD,Lead Gen,PROSPECTING,CSB,Other,Lead Gen,KCT-3PD-CONTEXTUAL,22754.47,31001.489999999998
United States,3PD,Passive Prospects,BRAND,CSB,Other,Passive Prospects,AFFINITY-3PD-BEHAVIOR,6533.34,18190.829999999998
United States,3PD,Passive Prospects,BRAND,CSB,Other,Passive Prospects,CATEGORY-3PD-CONTEXTUAL,90353.12,38509.42
United States,3PD,Passive Prospects,BRAND,CSB,Other,Passive Prospects,DMP-3PD-AUDIENCE,40225.68,35975.979999999996
United States,3PD,Passive Prospects,BRAND,CSB,Other,Passive Prospects,DMP-3PD-LAL,8713.82,114288.02
United States,3PD,Passive Prospects,PROSPECTING,CSB,Other,Passive Prospects,KCT-3PD-CONTEXTUAL,182006.46,7614.74
United States,Other,Active Prospects,ENGAGEMENT,B2B,Infrastructure Solutions Group,Active Prospects,SPONSORSHIP,0.0,0.0
United States,Other,Active Prospects,ENGAGEMENT,CSB,Other,Active Prospects,CONQUESTING,0.0,0.0
United States,Other,Active Prospects,PROSPECTING-TXL,B2B,Commercial,Active Prospects,KCT-SEARCH,0.0,450155.22
United States,Other,Active Prospects,PROSPECTING-TXL,B2B,Medium Business,Active Prospects,CONQUESTING,0.0,34124.03
United States,Other,Active Prospects,PROSPECTING-TXL,B2B,Medium Business,Active Prospects,ROS-PMP,30012.22,1507069.1
United States,Other,Demand Creation,AWARENESS,B2B,Dell Tech Concierge,Demand Creation,SPONSORSHIP,0.0,1635.84
United States,Other,Demand Creation,BRAND,B2B,Dell Tech Concierge,Demand Creation,CONQUESTING,0.0,1374.39
United States,Other,Demand Creation,BRAND,B2B,Dell Tech Concierge,Demand Creation,ROS-PMP,0.0,6597.24
United States,Other,Demand Creation,BRAND,B2B,Dell Tech Concierge,Demand Creation,SPONSORSHIP,0.0,4795.45
United States,Other,Demand Creation,BRAND,CSB,Consumer,Demand Creation,SPONSORSHIP,0.0,0.0
United States,Other,High Propsensity Prospects,PROSPECTING,CSB,Other,High Propsensity Prospects,CONQUESTING,19805.14,11359.710000000001
United States,Other,Passive Prospects,BRAND,CSB,Other,Passive Prospects,KCT-SEARCH,7848.07,11662.62
United States,Other,Passive Prospects,BRAND,CSB,Other,Passive Prospects,RON-PMP,0.0,20003.47
United States,Other,Passive Prospects,BRAND,CSB,Other,Passive Prospects,SPONSORSHIP,132671.02,21322.42
