,Taxonomy,Count,lvl1,lvl2,lvl3,lvl4,lvl5,lvl6,lvl7,lvl8,DataProvider
100,"33466/*Neustar AdAdvisor Identity Planner Audiences - Propensity*/,4946824/*Visit Dell.com in the Last 30 Days*/",1,33466,*Neustar AdAdvisor Identity Planner Audiences - Propensity*,",4946824",*Visit Dell.com in the Last 30 Days*,,,,,adadvisor
101,"12894/*Neustar AdAdvisor Consumer Audiences*/,40503414/*Computers & Electronics > Use Laptop/Notebook/Netbook for Home Automation*/",1,12894,*Neustar AdAdvisor Consumer Audiences*,",40503414",*Computers & Electronics , Use Laptop,Notebook,Netbook for Home Automation*,,adadvisor
102,"12160/*Neustar AdAdvisor - Business*/,2965369/*MICRO 3- Real Estate Agents And Managers*/",1,12160,*Neustar AdAdvisor - Business*,",2965369",*MICRO 3- Real Estate Agents And Managers*,,,,,adadvisor
103,"12160/*Neustar AdAdvisor - Business*/,2965437/*SMALL 35- Small Businesses*/",1,12160,*Neustar AdAdvisor - Business*,",2965437",*SMALL 35- Small Businesses*,,,,,adadvisor
104,"25752/*180byTwo_DataDirectory*/,44579680/*180byTwo from Anteriad > Truthset Scored > B2C > Demographic > Education > College Graduate Degree*/",1,25752,*180byTwo_DataDirectory*,",44579680",*180byTwo from Anteriad , Truthset Scored , B2C , Demographic , Education > College Graduate Degree*/,180bytwo
105,"33466/*Neustar AdAdvisor Identity Planner Audiences - Propensity*/,4946617/*Love to Buy New Gadgets and Appliances*/",1,33466,*Neustar AdAdvisor Identity Planner Audiences - Propensity*,",4946617",*Love to Buy New Gadgets and Appliances*,,,,,adadvisor
106,"12894/*Neustar AdAdvisor Consumer Audiences*/,6919276/*Computers & Electronics > Cell/Smartphones/Tablets > Uses Games Apps on Smartphone*/",1,12894,*Neustar AdAdvisor Consumer Audiences*,",6919276",*Computers & Electronics , Cell,Smartphones,Tablets , Uses Games Apps on Smartphone*/,adadvisor
107,"12894/*Neustar AdAdvisor Consumer Audiences*/,40503004/*Entertainment > Downloaded/Streamed From Internet > Internet Video/Music/Tv Set-Brands Owned: Video Game System*/",1,12894,*Neustar AdAdvisor Consumer Audiences*,",40503004",*Entertainment , Downloaded,Streamed From Internet , Internet Video,Music/Tv Set-Brands Owned: Video Game System*/,adadvisor
108,"12894/*Neustar AdAdvisor Consumer Audiences*/,44997320/*Computers & Electronics > Video Game Console > Type of Video Game System Own/Play Nintendo Switch*/",1,12894,*Neustar AdAdvisor Consumer Audiences*,",44997320",*Computers & Electronics , Video Game Console , Type of Video Game System Own,Play Nintendo Switch*,,adadvisor
109,"12894/*Neustar AdAdvisor Consumer Audiences*/,40503008/*Computers & Electronics > Video Game Console > Type of Video Game System Own/Play Playstation 4*/",1,12894,*Neustar AdAdvisor Consumer Audiences*,",40503008",*Computers & Electronics , Video Game Console , Type of Video Game System Own,Play Playstation 4*,,adadvisor
110,"12894/*Neustar AdAdvisor Consumer Audiences*/,44997578/*Web Browsing > Visited WebSite: Gamer Network Last 3Month*/",1,12894,*Neustar AdAdvisor Consumer Audiences*,",44997578",*Web Browsing , Visited WebSite: Gamer Network Last 3Month*,,,,adadvisor
111,"12894/*Neustar AdAdvisor Consumer Audiences*/,6919502/*Hobbies & Interests > Sports Interests > Major Lg Baseball-Very Interested-Last 12M*/",1,12894,*Neustar AdAdvisor Consumer Audiences*,",6919502",*Hobbies & Interests , Sports Interests , Major Lg Baseball-Very Interested-Last 12M*,,,adadvisor
112,"33466/*Neustar AdAdvisor Identity Planner Audiences - Propensity*/,4947873/*Last Computer Purchase: <1 Year Ago*/",1,33466,*Neustar AdAdvisor Identity Planner Audiences - Propensity*,",4947873",*Last Computer Purchase: <1 Year Ago*,,,,,adadvisor
113,"12894/*Neustar AdAdvisor Consumer Audiences*/,2997579/*Technology & Computing > Computer Purchase > HH's Most Recent PC Purchased- <1 Yr Ago*/",1,12894,*Neustar AdAdvisor Consumer Audiences*,",2997579",*Technology & Computing , Computer Purchase , HH's Most Recent PC Purchased- <1 Yr Ago*,,,adadvisor
114,"12894/*Neustar AdAdvisor Consumer Audiences*/,2997796/*Travel > Domestic Air Travel > Domestic Travel-Last Trip-Airline Last 12M: Southwest*/",1,12894,*Neustar AdAdvisor Consumer Audiences*,",2997796",*Travel , Domestic Air Travel , Domestic Travel-Last Trip-Airline Last 12M: Southwest*,,,adadvisor
115,"12894/*Neustar AdAdvisor Consumer Audiences*/,2997794/*Travel > Domestic Air Travel > Domestic Travel-Last Trip-Airline Last 12M: American Airlines*/",1,12894,*Neustar AdAdvisor Consumer Audiences*,",2997794",*Travel , Domestic Air Travel , Domestic Travel-Last Trip-Airline Last 12M: American Airlines*,,,adadvisor
116,"12894/*Neustar AdAdvisor Consumer Audiences*/,2997252/*Restaurants > Family Restaurant & Steak House > Family Restaurant-Most Last 30D-Olive Garden*/",1,12894,*Neustar AdAdvisor Consumer Audiences*,",2997252",*Restaurants , Family Restaurant & Steak House , Family Restaurant-Most Last 30D-Olive Garden*,,,adadvisor
117,"12894/*Neustar AdAdvisor Consumer Audiences*/,2997253/*Restaurants > Family Restaurant & Steak House > Family Restaurant-Most Last 30D-Outback Steakhouse*/",1,12894,*Neustar AdAdvisor Consumer Audiences*,",2997253",*Restaurants , Family Restaurant & Steak House , Family Restaurant-Most Last 30D-Outback Steakhouse*,,,adadvisor
118,"12894/*Neustar AdAdvisor Consumer Audiences*/,2997245/*Restaurants > Family Restaurant & Steak House > Family Restaurant-Most Last 30D-Cheesecake Factory*/",1,12894,*Neustar AdAdvisor Consumer Audiences*,",2997245",*Restaurants , Family Restaurant & Steak House , Family Restaurant-Most Last 30D-Cheesecake Factory*,,,adadvisor
119,"12894/*Neustar AdAdvisor Consumer Audiences*/,2997131/*Personal Finance > Banking > Banking/Investments: Have Savings Account(s)*/",1,12894,*Neustar AdAdvisor Consumer Audiences*,",2997131",*Personal Finance , Banking , Banking,Investments: Have Savings Account(s)*,,adadvisor
120,"12160/*Neustar AdAdvisor - Business*/,2965188/*Finance, Insurance, and Accounting*/",1,12160,*Neustar AdAdvisor - Business*,",2965188","*Finance, Insurance, and Accounting*",,,,,adadvisor
121,"12894/*Neustar AdAdvisor Consumer Audiences*/,2997129/*Personal Finance > Banking > Banking/Investments: Have Interest Bearing Check Account*/",1,12894,*Neustar AdAdvisor Consumer Audiences*,",2997129",*Personal Finance , Banking , Banking,Investments: Have Interest Bearing Check Account*,,adadvisor
