,Audience Type,Fiscal Quarter,Fiscal Week Year,Country,BU,Audience ID Exists,Segment ID
975,1PD,2024-Q2,2024-W25,Canada,CSB,Have ID,6
976,1PD,2024-Q2,2024-W25,Canada,CSB,No ID,2
977,1PD,2024-Q2,2024-W25,France,CSB,No ID,1
978,1PD,2024-Q2,2024-W25,Germany,CSB,No ID,1
979,1PD,2024-Q2,2024-W25,India,B2B,No ID,1
980,1PD,2024-Q2,2024-W25,India,CSB,No ID,1
981,1PD,2024-Q2,2024-W25,Japan,B2B,No ID,1
982,1PD,2024-Q2,2024-W25,Japan,CSB,No ID,2
983,1PD,2024-Q2,2024-W25,Malaysia,B2B,No ID,1
984,1PD,2024-Q2,2024-W25,Netherlands,CSB,No ID,1
985,1PD,2024-Q2,2024-W25,Singapore,B2B,No ID,1
986,1PD,2024-Q2,2024-W25,Spain,CSB,No ID,1
987,1PD,2024-Q2,2024-W25,Sweden,CSB,No ID,1
988,1PD,2024-Q2,2024-W25,Switzerland,CSB,No ID,1
989,1PD,2024-Q2,2024-W25,United Kingdom,CSB,No ID,1
990,1PD,2024-Q2,2024-W25,United States,B2B,Have ID,12
991,1PD,2024-Q2,2024-W25,United States,B2B,No ID,1
992,1PD,2024-Q2,2024-W25,United States,CSB,Have ID,27
993,1PD,2024-Q2,2024-W25,United States,CSB,No ID,2
994,1PD,2024-Q2,2024-W26,Australia,B2B,No ID,1
995,1PD,2024-Q2,2024-W26,Australia,CSB,No ID,2
996,1PD,2024-Q2,2024-W26,Canada,B2B,No ID,1
997,1PD,2024-Q2,2024-W26,Canada,CSB,Have ID,6
998,1PD,2024-Q2,2024-W26,Canada,CSB,No ID,2
999,1PD,2024-Q2,2024-W26,France,CSB,No ID,1
1000,1PD,2024-Q2,2024-W26,Germany,CSB,No ID,1
1001,1PD,2024-Q2,2024-W26,India,B2B,No ID,1
1002,1PD,2024-Q2,2024-W26,India,CSB,No ID,1
1003,1PD,2024-Q2,2024-W26,Japan,B2B,No ID,1
1004,1PD,2024-Q2,2024-W26,Japan,CSB,No ID,2
1005,1PD,2024-Q2,2024-W26,Malaysia,B2B,No ID,1
1006,1PD,2024-Q2,2024-W26,Malaysia,CSB,No ID,1
1007,1PD,2024-Q2,2024-W26,Netherlands,CSB,No ID,1
1008,1PD,2024-Q2,2024-W26,Singapore,B2B,No ID,1
1009,1PD,2024-Q2,2024-W26,Singapore,CSB,No ID,1
1010,1PD,2024-Q2,2024-W26,Spain,CSB,No ID,1
1011,1PD,2024-Q2,2024-W26,Sweden,CSB,No ID,1
1012,1PD,2024-Q2,2024-W26,Switzerland,CSB,No ID,1
1013,1PD,2024-Q2,2024-W26,United Kingdom,CSB,No ID,1
1014,1PD,2024-Q2,2024-W26,United States,B2B,Have ID,12
1015,1PD,2024-Q2,2024-W26,United States,B2B,No ID,1
1016,1PD,2024-Q2,2024-W26,United States,CSB,Have ID,27
1017,1PD,2024-Q2,2024-W26,United States,CSB,No ID,2
1018,1PD,2024-Q3,2024-W27,Australia,B2B,No ID,1
1019,1PD,2024-Q3,2024-W27,Australia,CSB,Have ID,1
1020,1PD,2024-Q3,2024-W27,Australia,CSB,No ID,1
1021,1PD,2024-Q3,2024-W27,Canada,B2B,No ID,1
1022,1PD,2024-Q3,2024-W27,Canada,CSB,Have ID,7
1023,1PD,2024-Q3,2024-W27,Canada,CSB,No ID,1
1024,1PD,2024-Q3,2024-W27,France,CSB,Have ID,1
1025,1PD,2024-Q3,2024-W27,France,CSB,No ID,1
1026,1PD,2024-Q3,2024-W27,Germany,CSB,No ID,1
1027,1PD,2024-Q3,2024-W27,India,B2B,No ID,1
1028,1PD,2024-Q3,2024-W27,India,CSB,No ID,1
1029,1PD,2024-Q3,2024-W27,Japan,B2B,No ID,1
1030,1PD,2024-Q3,2024-W27,Japan,CSB,No ID,1
1031,1PD,2024-Q3,2024-W27,Malaysia,B2B,No ID,1
1032,1PD,2024-Q3,2024-W27,Malaysia,CSB,No ID,1
1033,1PD,2024-Q3,2024-W27,Netherlands,CSB,No ID,1
1034,1PD,2024-Q3,2024-W27,Singapore,B2B,No ID,1
1035,1PD,2024-Q3,2024-W27,Singapore,CSB,No ID,1
1036,1PD,2024-Q3,2024-W27,Spain,CSB,No ID,1
1037,1PD,2024-Q3,2024-W27,Sweden,CSB,No ID,1
1038,1PD,2024-Q3,2024-W27,Switzerland,CSB,No ID,1
1039,1PD,2024-Q3,2024-W27,United Kingdom,CSB,No ID,1
1040,1PD,2024-Q3,2024-W27,United States,B2B,Have ID,12
1041,1PD,2024-Q3,2024-W27,United States,B2B,No ID,1
1042,1PD,2024-Q3,2024-W27,United States,CSB,Have ID,25
1043,1PD,2024-Q3,2024-W27,United States,CSB,No ID,1
1044,1PD,2024-Q3,2024-W28,Australia,B2B,No ID,1
1045,1PD,2024-Q3,2024-W28,Australia,CSB,Have ID,3
1046,1PD,2024-Q3,2024-W28,Australia,CSB,No ID,1
1047,1PD,2024-Q3,2024-W28,Canada,B2B,No ID,1
1048,1PD,2024-Q3,2024-W28,Canada,CSB,Have ID,8
1049,1PD,2024-Q3,2024-W28,Canada,CSB,No ID,1
1050,1PD,2024-Q3,2024-W28,France,B2B,No ID,1
1051,1PD,2024-Q3,2024-W28,France,CSB,Have ID,1
1052,1PD,2024-Q3,2024-W28,France,CSB,No ID,1
1053,1PD,2024-Q3,2024-W28,Germany,B2B,No ID,1
1054,1PD,2024-Q3,2024-W28,Germany,CSB,No ID,1
1055,1PD,2024-Q3,2024-W28,India,B2B,No ID,1
1056,1PD,2024-Q3,2024-W28,India,CSB,No ID,1
1057,1PD,2024-Q3,2024-W28,Japan,B2B,No ID,1
1058,1PD,2024-Q3,2024-W28,Japan,CSB,No ID,1
1059,1PD,2024-Q3,2024-W28,Malaysia,B2B,No ID,1
1060,1PD,2024-Q3,2024-W28,Malaysia,CSB,No ID,1
1061,1PD,2024-Q3,2024-W28,Netherlands,CSB,No ID,1
1062,1PD,2024-Q3,2024-W28,Singapore,B2B,No ID,1
1063,1PD,2024-Q3,2024-W28,Singapore,CSB,No ID,1
1064,1PD,2024-Q3,2024-W28,Spain,CSB,No ID,1
1065,1PD,2024-Q3,2024-W28,Sweden,CSB,No ID,1
1066,1PD,2024-Q3,2024-W28,Switzerland,CSB,No ID,1
1067,1PD,2024-Q3,2024-W28,United Kingdom,B2B,No ID,1
1068,1PD,2024-Q3,2024-W28,United Kingdom,CSB,No ID,1
1069,1PD,2024-Q3,2024-W28,United States,B2B,Have ID,11
1070,1PD,2024-Q3,2024-W28,United States,B2B,No ID,1
1071,1PD,2024-Q3,2024-W28,United States,CSB,Have ID,27
1072,1PD,2024-Q3,2024-W28,United States,CSB,No ID,1
1073,1PD,2024-Q3,2024-W29,Australia,B2B,No ID,1
1074,1PD,2024-Q3,2024-W29,Australia,CSB,No ID,1
1075,1PD,2024-Q3,2024-W29,Canada,B2B,No ID,1
1076,1PD,2024-Q3,2024-W29,Canada,CSB,Have ID,8
1077,1PD,2024-Q3,2024-W29,Canada,CSB,No ID,1
1078,1PD,2024-Q3,2024-W29,France,B2B,No ID,1
1079,1PD,2024-Q3,2024-W29,France,CSB,Have ID,1
1080,1PD,2024-Q3,2024-W29,France,CSB,No ID,1
1081,1PD,2024-Q3,2024-W29,Germany,B2B,No ID,1
1082,1PD,2024-Q3,2024-W29,Germany,CSB,No ID,1
1083,1PD,2024-Q3,2024-W29,India,B2B,No ID,1
1084,1PD,2024-Q3,2024-W29,India,CSB,No ID,1
1085,1PD,2024-Q3,2024-W29,Japan,B2B,No ID,1
1086,1PD,2024-Q3,2024-W29,Japan,CSB,No ID,1
1087,1PD,2024-Q3,2024-W29,Malaysia,CSB,No ID,1
1088,1PD,2024-Q3,2024-W29,Netherlands,CSB,No ID,1
1089,1PD,2024-Q3,2024-W29,Singapore,B2B,No ID,1
1090,1PD,2024-Q3,2024-W29,Singapore,CSB,No ID,1
1091,1PD,2024-Q3,2024-W29,Spain,CSB,No ID,1
1092,1PD,2024-Q3,2024-W29,Sweden,CSB,No ID,1
1093,1PD,2024-Q3,2024-W29,Switzerland,CSB,No ID,1
1094,1PD,2024-Q3,2024-W29,United Kingdom,CSB,No ID,1
1095,1PD,2024-Q3,2024-W29,United States,B2B,Have ID,11
1096,1PD,2024-Q3,2024-W29,United States,B2B,No ID,1
1097,1PD,2024-Q3,2024-W29,United States,CSB,Have ID,25
1098,1PD,2024-Q3,2024-W29,United States,CSB,No ID,1
1099,1PD,2024-Q3,2024-W30,Australia,B2B,No ID,1
1100,1PD,2024-Q3,2024-W30,Australia,CSB,Have ID,3
1101,1PD,2024-Q3,2024-W30,Australia,CSB,No ID,1
1102,1PD,2024-Q3,2024-W30,Canada,B2B,No ID,1
1103,1PD,2024-Q3,2024-W30,Canada,CSB,Have ID,9
1104,1PD,2024-Q3,2024-W30,Canada,CSB,No ID,1
1105,1PD,2024-Q3,2024-W30,France,B2B,No ID,1
1106,1PD,2024-Q3,2024-W30,France,CSB,Have ID,1
1107,1PD,2024-Q3,2024-W30,France,CSB,No ID,1
1108,1PD,2024-Q3,2024-W30,Germany,B2B,No ID,1
1109,1PD,2024-Q3,2024-W30,Germany,CSB,No ID,1
1110,1PD,2024-Q3,2024-W30,India,B2B,No ID,1
1111,1PD,2024-Q3,2024-W30,India,CSB,No ID,1
1112,1PD,2024-Q3,2024-W30,Japan,B2B,No ID,1
1113,1PD,2024-Q3,2024-W30,Japan,CSB,No ID,1
1114,1PD,2024-Q3,2024-W30,Malaysia,B2B,No ID,1
1115,1PD,2024-Q3,2024-W30,Malaysia,CSB,No ID,1
1116,1PD,2024-Q3,2024-W30,Netherlands,CSB,No ID,1
1117,1PD,2024-Q3,2024-W30,Singapore,B2B,No ID,1
1118,1PD,2024-Q3,2024-W30,Singapore,CSB,No ID,1
1119,1PD,2024-Q3,2024-W30,Spain,CSB,No ID,1
1120,1PD,2024-Q3,2024-W30,Sweden,CSB,No ID,1
1121,1PD,2024-Q3,2024-W30,Switzerland,CSB,No ID,1
1122,1PD,2024-Q3,2024-W30,United Kingdom,CSB,No ID,1
1123,1PD,2024-Q3,2024-W30,United States,B2B,Have ID,11
1124,1PD,2024-Q3,2024-W30,United States,B2B,No ID,1
1125,1PD,2024-Q3,2024-W30,United States,CSB,Have ID,25
1126,1PD,2024-Q3,2024-W30,United States,CSB,No ID,1
1127,1PD,2024-Q3,2024-W31,Australia,B2B,No ID,1
1128,1PD,2024-Q3,2024-W31,Australia,CSB,Have ID,3
1129,1PD,2024-Q3,2024-W31,Australia,CSB,No ID,1
1130,1PD,2024-Q3,2024-W31,Canada,B2B,No ID,1
1131,1PD,2024-Q3,2024-W31,Canada,CSB,Have ID,9
1132,1PD,2024-Q3,2024-W31,Canada,CSB,No ID,1
1133,1PD,2024-Q3,2024-W31,France,CSB,Have ID,1
1134,1PD,2024-Q3,2024-W31,France,CSB,No ID,1
1135,1PD,2024-Q3,2024-W31,Germany,B2B,No ID,1
1136,1PD,2024-Q3,2024-W31,Germany,CSB,No ID,1
1137,1PD,2024-Q3,2024-W31,India,B2B,No ID,1
1138,1PD,2024-Q3,2024-W31,India,CSB,No ID,1
1139,1PD,2024-Q3,2024-W31,Japan,B2B,No ID,1
1140,1PD,2024-Q3,2024-W31,Japan,CSB,No ID,1
1141,1PD,2024-Q3,2024-W31,Malaysia,B2B,No ID,1
1142,1PD,2024-Q3,2024-W31,Malaysia,CSB,No ID,1
1143,1PD,2024-Q3,2024-W31,Netherlands,CSB,No ID,1
1144,1PD,2024-Q3,2024-W31,Singapore,B2B,No ID,1
1145,1PD,2024-Q3,2024-W31,Singapore,CSB,No ID,1
1146,1PD,2024-Q3,2024-W31,Spain,CSB,No ID,1
1147,1PD,2024-Q3,2024-W31,Switzerland,CSB,No ID,1
1148,1PD,2024-Q3,2024-W31,United Kingdom,CSB,No ID,1
1149,1PD,2024-Q3,2024-W31,United States,B2B,Have ID,13
1150,1PD,2024-Q3,2024-W31,United States,B2B,No ID,1
1151,1PD,2024-Q3,2024-W31,United States,CSB,Have ID,25
1152,1PD,2024-Q3,2024-W31,United States,CSB,No ID,1
1153,1PD,2024-Q3,2024-W32,Australia,B2B,No ID,1
1154,1PD,2024-Q3,2024-W32,Australia,CSB,Have ID,1
1155,1PD,2024-Q3,2024-W32,Australia,CSB,No ID,1
1156,1PD,2024-Q3,2024-W32,Canada,B2B,No ID,1
1157,1PD,2024-Q3,2024-W32,Canada,CSB,Have ID,9
1158,1PD,2024-Q3,2024-W32,Canada,CSB,No ID,1
1159,1PD,2024-Q3,2024-W32,France,B2B,No ID,1
1160,1PD,2024-Q3,2024-W32,France,CSB,Have ID,1
1161,1PD,2024-Q3,2024-W32,France,CSB,No ID,1
1162,1PD,2024-Q3,2024-W32,Germany,CSB,No ID,1
1163,1PD,2024-Q3,2024-W32,India,B2B,No ID,1
1164,1PD,2024-Q3,2024-W32,India,CSB,No ID,1
1165,1PD,2024-Q3,2024-W32,Japan,B2B,No ID,1
1166,1PD,2024-Q3,2024-W32,Japan,CSB,No ID,1
1167,1PD,2024-Q3,2024-W32,Malaysia,CSB,No ID,1
1168,1PD,2024-Q3,2024-W32,Netherlands,CSB,No ID,1
1169,1PD,2024-Q3,2024-W32,Singapore,B2B,No ID,1
1170,1PD,2024-Q3,2024-W32,Singapore,CSB,No ID,1
1171,1PD,2024-Q3,2024-W32,Spain,CSB,No ID,1
1172,1PD,2024-Q3,2024-W32,Switzerland,CSB,No ID,1
1173,1PD,2024-Q3,2024-W32,United Kingdom,B2B,No ID,1
1174,1PD,2024-Q3,2024-W32,United Kingdom,CSB,No ID,1
1175,1PD,2024-Q3,2024-W32,United States,B2B,Have ID,9
1176,1PD,2024-Q3,2024-W32,United States,B2B,No ID,1
1177,1PD,2024-Q3,2024-W32,United States,CSB,Have ID,25
1178,1PD,2024-Q3,2024-W32,United States,CSB,No ID,1
1179,1PD,2024-Q3,2024-W33,Australia,B2B,No ID,1
1180,1PD,2024-Q3,2024-W33,Australia,CSB,Have ID,2
1181,1PD,2024-Q3,2024-W33,Australia,CSB,No ID,1
1182,1PD,2024-Q3,2024-W33,Canada,B2B,No ID,1
1183,1PD,2024-Q3,2024-W33,Canada,CSB,Have ID,9
1184,1PD,2024-Q3,2024-W33,Canada,CSB,No ID,1
1185,1PD,2024-Q3,2024-W33,France,B2B,No ID,1
1186,1PD,2024-Q3,2024-W33,France,CSB,Have ID,1
1187,1PD,2024-Q3,2024-W33,France,CSB,No ID,1
1188,1PD,2024-Q3,2024-W33,Germany,B2B,No ID,1
1189,1PD,2024-Q3,2024-W33,Germany,CSB,No ID,1
1190,1PD,2024-Q3,2024-W33,India,B2B,No ID,1
1191,1PD,2024-Q3,2024-W33,India,CSB,No ID,1
1192,1PD,2024-Q3,2024-W33,Japan,B2B,No ID,1
1193,1PD,2024-Q3,2024-W33,Japan,CSB,No ID,1
1194,1PD,2024-Q3,2024-W33,Malaysia,CSB,No ID,1
1195,1PD,2024-Q3,2024-W33,Netherlands,CSB,No ID,1
1196,1PD,2024-Q3,2024-W33,Singapore,B2B,No ID,1
1197,1PD,2024-Q3,2024-W33,Singapore,CSB,No ID,1
1198,1PD,2024-Q3,2024-W33,Spain,CSB,No ID,1
1199,1PD,2024-Q3,2024-W33,Switzerland,CSB,No ID,1
1200,1PD,2024-Q3,2024-W33,United Kingdom,B2B,No ID,1
1201,1PD,2024-Q3,2024-W33,United Kingdom,CSB,No ID,1
1202,1PD,2024-Q3,2024-W33,United States,B2B,Have ID,9
1203,1PD,2024-Q3,2024-W33,United States,B2B,No ID,1
1204,1PD,2024-Q3,2024-W33,United States,CSB,Have ID,24
1205,1PD,2024-Q3,2024-W33,United States,CSB,No ID,1
1206,1PD,2024-Q3,2024-W34,Australia,B2B,No ID,1
1207,1PD,2024-Q3,2024-W34,Australia,CSB,Have ID,2
1208,1PD,2024-Q3,2024-W34,Australia,CSB,No ID,1
1209,1PD,2024-Q3,2024-W34,Canada,B2B,No ID,1
1210,1PD,2024-Q3,2024-W34,Canada,CSB,Have ID,9
1211,1PD,2024-Q3,2024-W34,Canada,CSB,No ID,1
1212,1PD,2024-Q3,2024-W34,France,B2B,No ID,1
1213,1PD,2024-Q3,2024-W34,France,CSB,Have ID,1
1214,1PD,2024-Q3,2024-W34,France,CSB,No ID,1
1215,1PD,2024-Q3,2024-W34,Germany,B2B,No ID,1
1216,1PD,2024-Q3,2024-W34,Germany,CSB,No ID,1
1217,1PD,2024-Q3,2024-W34,India,B2B,No ID,1
1218,1PD,2024-Q3,2024-W34,India,CSB,No ID,1
1219,1PD,2024-Q3,2024-W34,Japan,B2B,No ID,1
1220,1PD,2024-Q3,2024-W34,Japan,CSB,No ID,1
1221,1PD,2024-Q3,2024-W34,Malaysia,CSB,No ID,1
1222,1PD,2024-Q3,2024-W34,Netherlands,CSB,No ID,1
1223,1PD,2024-Q3,2024-W34,Singapore,B2B,No ID,1
1224,1PD,2024-Q3,2024-W34,Singapore,CSB,No ID,1
1225,1PD,2024-Q3,2024-W34,Spain,CSB,No ID,1
1226,1PD,2024-Q3,2024-W34,Switzerland,CSB,No ID,1
1227,1PD,2024-Q3,2024-W34,United Kingdom,B2B,No ID,1
1228,1PD,2024-Q3,2024-W34,United Kingdom,CSB,No ID,1
1229,1PD,2024-Q3,2024-W34,United States,B2B,Have ID,11
1230,1PD,2024-Q3,2024-W34,United States,B2B,No ID,1
1231,1PD,2024-Q3,2024-W34,United States,CSB,Have ID,24
1232,1PD,2024-Q3,2024-W34,United States,CSB,No ID,1
1233,1PD,2024-Q3,2024-W35,Australia,B2B,No ID,1
1234,1PD,2024-Q3,2024-W35,Australia,CSB,Have ID,2
1235,1PD,2024-Q3,2024-W35,Australia,CSB,No ID,1
1236,1PD,2024-Q3,2024-W35,Canada,B2B,No ID,1
1237,1PD,2024-Q3,2024-W35,Canada,CSB,Have ID,9
1238,1PD,2024-Q3,2024-W35,Canada,CSB,No ID,1
1239,1PD,2024-Q3,2024-W35,France,B2B,No ID,1
1240,1PD,2024-Q3,2024-W35,France,CSB,Have ID,1
1241,1PD,2024-Q3,2024-W35,France,CSB,No ID,1
1242,1PD,2024-Q3,2024-W35,Germany,B2B,No ID,1
1243,1PD,2024-Q3,2024-W35,Germany,CSB,No ID,1
1244,1PD,2024-Q3,2024-W35,India,B2B,No ID,1
1245,1PD,2024-Q3,2024-W35,India,CSB,No ID,1
1246,1PD,2024-Q3,2024-W35,Japan,B2B,No ID,1
1247,1PD,2024-Q3,2024-W35,Japan,CSB,No ID,1
1248,1PD,2024-Q3,2024-W35,Malaysia,CSB,No ID,1
1249,1PD,2024-Q3,2024-W35,Netherlands,CSB,No ID,1
1250,1PD,2024-Q3,2024-W35,Singapore,B2B,No ID,1
1251,1PD,2024-Q3,2024-W35,Singapore,CSB,No ID,1
1252,1PD,2024-Q3,2024-W35,Spain,CSB,No ID,1
1253,1PD,2024-Q3,2024-W35,Switzerland,CSB,No ID,1
1254,1PD,2024-Q3,2024-W35,United Kingdom,B2B,No ID,1
1255,1PD,2024-Q3,2024-W35,United Kingdom,CSB,No ID,1
1256,1PD,2024-Q3,2024-W35,United States,B2B,Have ID,10
1257,1PD,2024-Q3,2024-W35,United States,B2B,No ID,1
1258,1PD,2024-Q3,2024-W35,United States,CSB,Have ID,23
1259,1PD,2024-Q3,2024-W35,United States,CSB,No ID,1
1260,1PD,2024-Q3,2024-W36,Australia,B2B,No ID,1
1261,1PD,2024-Q3,2024-W36,Australia,CSB,Have ID,3
1262,1PD,2024-Q3,2024-W36,Australia,CSB,No ID,1
1263,1PD,2024-Q3,2024-W36,Canada,B2B,No ID,1
1264,1PD,2024-Q3,2024-W36,Canada,CSB,Have ID,9
1265,1PD,2024-Q3,2024-W36,Canada,CSB,No ID,1
1266,1PD,2024-Q3,2024-W36,France,B2B,No ID,1
1267,1PD,2024-Q3,2024-W36,France,CSB,Have ID,1
1268,1PD,2024-Q3,2024-W36,France,CSB,No ID,1
1269,1PD,2024-Q3,2024-W36,Germany,B2B,No ID,1
1270,1PD,2024-Q3,2024-W36,Germany,CSB,No ID,1
1271,1PD,2024-Q3,2024-W36,India,B2B,No ID,1
1272,1PD,2024-Q3,2024-W36,India,CSB,No ID,1
1273,1PD,2024-Q3,2024-W36,Japan,B2B,No ID,1
1274,1PD,2024-Q3,2024-W36,Japan,CSB,No ID,1
1275,1PD,2024-Q3,2024-W36,Malaysia,CSB,No ID,1
1276,1PD,2024-Q3,2024-W36,Netherlands,CSB,No ID,1
1277,1PD,2024-Q3,2024-W36,Singapore,B2B,No ID,1
1278,1PD,2024-Q3,2024-W36,Singapore,CSB,No ID,1
1279,1PD,2024-Q3,2024-W36,Spain,CSB,No ID,1
1280,1PD,2024-Q3,2024-W36,Sweden,CSB,No ID,1
1281,1PD,2024-Q3,2024-W36,Switzerland,CSB,No ID,1
1282,1PD,2024-Q3,2024-W36,United Kingdom,B2B,No ID,1
1283,1PD,2024-Q3,2024-W36,United Kingdom,CSB,No ID,1
1284,1PD,2024-Q3,2024-W36,United States,B2B,Have ID,10
1285,1PD,2024-Q3,2024-W36,United States,B2B,No ID,1
1286,1PD,2024-Q3,2024-W36,United States,CSB,Have ID,23
1287,1PD,2024-Q3,2024-W36,United States,CSB,No ID,1
1288,1PD,2024-Q3,2024-W37,Australia,B2B,No ID,1
1289,1PD,2024-Q3,2024-W37,Australia,CSB,Have ID,2
1290,1PD,2024-Q3,2024-W37,Australia,CSB,No ID,1
1291,1PD,2024-Q3,2024-W37,Canada,B2B,No ID,1
1292,1PD,2024-Q3,2024-W37,Canada,CSB,Have ID,9
1293,1PD,2024-Q3,2024-W37,Canada,CSB,No ID,1
1294,1PD,2024-Q3,2024-W37,France,B2B,No ID,1
1295,1PD,2024-Q3,2024-W37,France,CSB,Have ID,1
1296,1PD,2024-Q3,2024-W37,France,CSB,No ID,1
1297,1PD,2024-Q3,2024-W37,Germany,B2B,No ID,1
1298,1PD,2024-Q3,2024-W37,Germany,CSB,No ID,1
1299,1PD,2024-Q3,2024-W37,India,B2B,No ID,1
1300,1PD,2024-Q3,2024-W37,India,CSB,No ID,1
1301,1PD,2024-Q3,2024-W37,Japan,B2B,No ID,1
1302,1PD,2024-Q3,2024-W37,Japan,CSB,No ID,1
1303,1PD,2024-Q3,2024-W37,Malaysia,B2B,No ID,1
1304,1PD,2024-Q3,2024-W37,Malaysia,CSB,No ID,1
1305,1PD,2024-Q3,2024-W37,Netherlands,CSB,No ID,1
1306,1PD,2024-Q3,2024-W37,New Zealand,CSB,No ID,1
1307,1PD,2024-Q3,2024-W37,Singapore,B2B,No ID,1
1308,1PD,2024-Q3,2024-W37,Singapore,CSB,No ID,1
1309,1PD,2024-Q3,2024-W37,Spain,CSB,No ID,1
1310,1PD,2024-Q3,2024-W37,Switzerland,CSB,No ID,1
1311,1PD,2024-Q3,2024-W37,United Kingdom,B2B,No ID,1
1312,1PD,2024-Q3,2024-W37,United Kingdom,CSB,No ID,1
1313,1PD,2024-Q3,2024-W37,United States,B2B,Have ID,9
1314,1PD,2024-Q3,2024-W37,United States,B2B,No ID,1
1315,1PD,2024-Q3,2024-W37,United States,CSB,Have ID,31
1316,1PD,2024-Q3,2024-W37,United States,CSB,No ID,1
1317,1PD,2024-Q3,2024-W38,Australia,B2B,No ID,1
1318,1PD,2024-Q3,2024-W38,Australia,CSB,Have ID,2
1319,1PD,2024-Q3,2024-W38,Australia,CSB,No ID,1
1320,1PD,2024-Q3,2024-W38,Canada,B2B,No ID,1
1321,1PD,2024-Q3,2024-W38,Canada,CSB,Have ID,10
1322,1PD,2024-Q3,2024-W38,Canada,CSB,No ID,1
1323,1PD,2024-Q3,2024-W38,France,B2B,No ID,1
1324,1PD,2024-Q3,2024-W38,France,CSB,Have ID,1
1325,1PD,2024-Q3,2024-W38,France,CSB,No ID,1
1326,1PD,2024-Q3,2024-W38,Germany,B2B,No ID,1
1327,1PD,2024-Q3,2024-W38,Germany,CSB,No ID,1
1328,1PD,2024-Q3,2024-W38,India,B2B,No ID,1
1329,1PD,2024-Q3,2024-W38,India,CSB,No ID,1
1330,1PD,2024-Q3,2024-W38,Japan,B2B,No ID,1
1331,1PD,2024-Q3,2024-W38,Japan,CSB,No ID,1
1332,1PD,2024-Q3,2024-W38,Malaysia,B2B,No ID,1
1333,1PD,2024-Q3,2024-W38,Malaysia,CSB,No ID,1
1334,1PD,2024-Q3,2024-W38,Netherlands,CSB,No ID,1
1335,1PD,2024-Q3,2024-W38,New Zealand,CSB,No ID,1
1336,1PD,2024-Q3,2024-W38,Singapore,B2B,No ID,1
1337,1PD,2024-Q3,2024-W38,Singapore,CSB,No ID,1
1338,1PD,2024-Q3,2024-W38,Spain,CSB,No ID,1
1339,1PD,2024-Q3,2024-W38,Switzerland,CSB,No ID,1
1340,1PD,2024-Q3,2024-W38,United Kingdom,B2B,No ID,1
1341,1PD,2024-Q3,2024-W38,United Kingdom,CSB,No ID,1
1342,1PD,2024-Q3,2024-W38,United States,B2B,Have ID,12
1343,1PD,2024-Q3,2024-W38,United States,B2B,No ID,1
1344,1PD,2024-Q3,2024-W38,United States,CSB,Have ID,28
1345,1PD,2024-Q3,2024-W38,United States,CSB,No ID,1
1346,1PD,2024-Q3,2024-W39,Australia,B2B,No ID,1
1347,1PD,2024-Q3,2024-W39,Australia,CSB,Have ID,2
1348,1PD,2024-Q3,2024-W39,Australia,CSB,No ID,1
1349,1PD,2024-Q3,2024-W39,Canada,B2B,No ID,1
1350,1PD,2024-Q3,2024-W39,Canada,CSB,Have ID,10
1351,1PD,2024-Q3,2024-W39,Canada,CSB,No ID,1
1352,1PD,2024-Q3,2024-W39,France,B2B,No ID,1
1353,1PD,2024-Q3,2024-W39,France,CSB,Have ID,1
1354,1PD,2024-Q3,2024-W39,France,CSB,No ID,1
1355,1PD,2024-Q3,2024-W39,Germany,B2B,No ID,1
1356,1PD,2024-Q3,2024-W39,Germany,CSB,No ID,1
1357,1PD,2024-Q3,2024-W39,India,B2B,No ID,1
1358,1PD,2024-Q3,2024-W39,India,CSB,No ID,1
1359,1PD,2024-Q3,2024-W39,Italy,B2B,No ID,1
1360,1PD,2024-Q3,2024-W39,Japan,B2B,No ID,1
1361,1PD,2024-Q3,2024-W39,Japan,CSB,No ID,1
1362,1PD,2024-Q3,2024-W39,Malaysia,CSB,No ID,1
1363,1PD,2024-Q3,2024-W39,Netherlands,CSB,No ID,1
1364,1PD,2024-Q3,2024-W39,New Zealand,CSB,No ID,1
1365,1PD,2024-Q3,2024-W39,Singapore,B2B,No ID,1
1366,1PD,2024-Q3,2024-W39,Singapore,CSB,No ID,1
1367,1PD,2024-Q3,2024-W39,Spain,CSB,No ID,1
1368,1PD,2024-Q3,2024-W39,Switzerland,CSB,No ID,1
1369,1PD,2024-Q3,2024-W39,United Kingdom,B2B,No ID,1
1370,1PD,2024-Q3,2024-W39,United Kingdom,CSB,No ID,1
1371,1PD,2024-Q3,2024-W39,United States,B2B,Have ID,17
1372,1PD,2024-Q3,2024-W39,United States,B2B,No ID,1
1373,1PD,2024-Q3,2024-W39,United States,CSB,Have ID,25
1374,1PD,2024-Q3,2024-W39,United States,CSB,No ID,1
1375,1PD,2024-Q4,2024-W40,Australia,B2B,No ID,1
1376,1PD,2024-Q4,2024-W40,Australia,CSB,Have ID,2
1377,1PD,2024-Q4,2024-W40,Australia,CSB,No ID,1
1378,1PD,2024-Q4,2024-W40,Canada,B2B,No ID,1
1379,1PD,2024-Q4,2024-W40,Canada,CSB,Have ID,9
1380,1PD,2024-Q4,2024-W40,Canada,CSB,No ID,1
1381,1PD,2024-Q4,2024-W40,France,B2B,No ID,1
1382,1PD,2024-Q4,2024-W40,France,CSB,Have ID,1
