,Audience Type,Fiscal Quarter,Fiscal Week Year,Country,BU,Audience ID Exists,Segment ID
83,1PD,2023-Q3,2023-W31,Japan,B2B,No ID,1
84,1PD,2023-Q3,2023-W31,Japan,CSB,No ID,2
85,1PD,2023-Q3,2023-W31,Malaysia,B2B,No ID,1
86,1PD,2023-Q3,2023-W31,Netherlands,CSB,No ID,2
87,1PD,2023-Q3,2023-W31,Singapore,B2B,No ID,1
88,1PD,2023-Q3,2023-W31,Spain,CSB,No ID,2
89,1PD,2023-Q3,2023-W31,Sweden,CSB,No ID,2
90,1PD,2023-Q3,2023-W31,Switzerland,CSB,No ID,2
91,1PD,2023-Q3,2023-W31,United Kingdom,CSB,No ID,2
92,1PD,2023-Q3,2023-W31,United States,B2B,No ID,1
93,1PD,2023-Q3,2023-W31,United States,CSB,No ID,2
94,1PD,2023-Q3,2023-W32,Australia,B2B,No ID,1
95,1PD,2023-Q3,2023-W32,Canada,B2B,No ID,1
96,1PD,2023-Q3,2023-W32,Canada,CSB,No ID,2
97,1PD,2023-Q3,2023-W32,France,B2B,No ID,1
98,1PD,2023-Q3,2023-W32,France,CSB,No ID,1
99,1PD,2023-Q3,2023-W32,Germany,CSB,No ID,2
100,1PD,2023-Q3,2023-W32,India,B2B,No ID,1
101,1PD,2023-Q3,2023-W32,India,CSB,No ID,1
102,1PD,2023-Q3,2023-W32,Japan,B2B,No ID,1
103,1PD,2023-Q3,2023-W32,Japan,CSB,No ID,2
104,1PD,2023-Q3,2023-W32,Malaysia,B2B,No ID,1
105,1PD,2023-Q3,2023-W32,Netherlands,CSB,No ID,2
106,1PD,2023-Q3,2023-W32,Singapore,B2B,No ID,1
107,1PD,2023-Q3,2023-W32,Spain,CSB,No ID,2
108,1PD,2023-Q3,2023-W32,Sweden,CSB,No ID,2
109,1PD,2023-Q3,2023-W32,Switzerland,CSB,No ID,2
110,1PD,2023-Q3,2023-W32,United Kingdom,CSB,No ID,2
111,1PD,2023-Q3,2023-W32,United States,B2B,No ID,1
112,1PD,2023-Q3,2023-W32,United States,CSB,No ID,2
113,1PD,2023-Q3,2023-W33,Australia,B2B,No ID,1
114,1PD,2023-Q3,2023-W33,Canada,B2B,No ID,1
115,1PD,2023-Q3,2023-W33,Canada,CSB,No ID,2
116,1PD,2023-Q3,2023-W33,France,CSB,No ID,2
117,1PD,2023-Q3,2023-W33,Germany,CSB,No ID,2
118,1PD,2023-Q3,2023-W33,India,B2B,No ID,1
119,1PD,2023-Q3,2023-W33,India,CSB,No ID,1
120,1PD,2023-Q3,2023-W33,Japan,B2B,No ID,1
121,1PD,2023-Q3,2023-W33,Japan,CSB,No ID,2
122,1PD,2023-Q3,2023-W33,Malaysia,B2B,No ID,1
123,1PD,2023-Q3,2023-W33,Netherlands,CSB,No ID,2
124,1PD,2023-Q3,2023-W33,Singapore,B2B,No ID,1
125,1PD,2023-Q3,2023-W33,Spain,CSB,No ID,2
126,1PD,2023-Q3,2023-W33,Sweden,CSB,No ID,2
127,1PD,2023-Q3,2023-W33,Switzerland,CSB,No ID,2
128,1PD,2023-Q3,2023-W33,United Kingdom,CSB,No ID,2
129,1PD,2023-Q3,2023-W33,United States,B2B,No ID,1
130,1PD,2023-Q3,2023-W33,United States,CSB,No ID,2
131,1PD,2023-Q3,2023-W34,Australia,B2B,No ID,1
132,1PD,2023-Q3,2023-W34,Canada,B2B,No ID,1
133,1PD,2023-Q3,2023-W34,Canada,CSB,No ID,2
134,1PD,2023-Q3,2023-W34,France,CSB,No ID,2
135,1PD,2023-Q3,2023-W34,Germany,CSB,No ID,2
136,1PD,2023-Q3,2023-W34,India,B2B,No ID,1
137,1PD,2023-Q3,2023-W34,India,CSB,No ID,1
138,1PD,2023-Q3,2023-W34,Japan,B2B,No ID,1
139,1PD,2023-Q3,2023-W34,Japan,CSB,No ID,2
140,1PD,2023-Q3,2023-W34,Malaysia,B2B,No ID,1
141,1PD,2023-Q3,2023-W34,Netherlands,CSB,No ID,2
142,1PD,2023-Q3,2023-W34,Singapore,B2B,No ID,1
143,1PD,2023-Q3,2023-W34,Spain,CSB,No ID,2
144,1PD,2023-Q3,2023-W34,Sweden,CSB,No ID,2
145,1PD,2023-Q3,2023-W34,Switzerland,CSB,No ID,2
146,1PD,2023-Q3,2023-W34,United Kingdom,CSB,No ID,2
147,1PD,2023-Q3,2023-W34,United States,B2B,No ID,1
148,1PD,2023-Q3,2023-W34,United States,CSB,No ID,2
149,1PD,2023-Q3,2023-W35,Australia,B2B,No ID,1
150,1PD,2023-Q3,2023-W35,Canada,B2B,No ID,1
151,1PD,2023-Q3,2023-W35,Canada,CSB,No ID,2
152,1PD,2023-Q3,2023-W35,France,CSB,No ID,1
153,1PD,2023-Q3,2023-W35,Germany,CSB,No ID,2
154,1PD,2023-Q3,2023-W35,India,B2B,No ID,1
155,1PD,2023-Q3,2023-W35,India,CSB,No ID,1
156,1PD,2023-Q3,2023-W35,Japan,B2B,No ID,1
157,1PD,2023-Q3,2023-W35,Japan,CSB,No ID,2
158,1PD,2023-Q3,2023-W35,Malaysia,B2B,No ID,1
159,1PD,2023-Q3,2023-W35,Netherlands,CSB,No ID,2
160,1PD,2023-Q3,2023-W35,Singapore,B2B,No ID,1
161,1PD,2023-Q3,2023-W35,Spain,CSB,No ID,2
162,1PD,2023-Q3,2023-W35,Sweden,CSB,No ID,2
163,1PD,2023-Q3,2023-W35,Switzerland,CSB,No ID,2
164,1PD,2023-Q3,2023-W35,United Kingdom,CSB,No ID,2
165,1PD,2023-Q3,2023-W35,United States,B2B,No ID,1
